Collection_Name,Dress_Name,SKU,Dress_Item_Barcode,Cost_Price,Sale_Price,Collection_Discount_%,Dress_Discount_%,Dress_Item_Discount_%
Summer Collection,Floral Dress,SKU-FL001,BC001,1500,2500,10,5,0
Summer Collection,Floral Dress,SKU-FL001,BC002,1500,2500,10,5,0
Summer Collection,Floral Dress,SKU-FL001,BC003,1500,2500,10,5,0
Winter Collection,Wool Coat,SKU-WC001,BC004,3000,5000,15,0,5
Winter Collection,Wool Coat,SKU-WC001,BC005,3000,5000,15,0,5
Spring Collection,Cotton Shirt,SKU-CS001,BC006,800,1500,0,10,0
Spring Collection,Cotton Shirt,SKU-CS001,BC007,800,1500,0,10,0
Festive Collection,Party Dress,SKU-PD001,BC008,2500,4500,20,10,0
Festive Collection,Party Dress,SKU-PD001,BC009,2500,4500,20,10,0
Festive Collection,Party Dress,SKU-PD001,BC010,2500,4500,20,10,0
